Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
"Isoform 2 of Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	ALDH6A1	22.32796	22.87162	25.49412	25.28171	23.40351	23.99464	23.3236	24.71477	22.27498	23.55438	22.98429	24.15924	21.16347	23.28754	20.33068	23.19696	22.92107	19.88943	22.52135	23.72227	20.85293	22.53001	22.27829	21.51858	23.34393	21.30468	23.03021	22.86397	21.57957	22.57787	23.84115	23.18131
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"	BDH1	18.95936	20.19821	20.73154	18.73914	21.60353	20.76265	20.68159	22.01127	19.93023	19.45972	20.36709	20.97563	19.96626	19.78049	20.37358	20.88845	20.30006	18.30184	20.7288	20.2325	19.86617	19.90476	20.67244	21.30591	20.82722	20.96879	19.16916	19.97026	20.32047	19.10581	20.19555	21.70869
Isoform 2 of Amyloid beta A4 precursor protein-binding family A member 1	APBA1	21.76284	20.72254	20.30655	17.88721	20.95764	20.54227	20.91641	19.32808	21.63322	20.62378	21.29213	18.80446	21.92231	19.81856	19.71675	23.53133	21.50086	22.4382	22.60778	21.02493	22.43771	21.5719	21.2284	22.79932	20.90753	21.28912	21.2289	20.59219	22.04999	20.24102	21.04132	22.66677
Histone H1.1	HIST1H1A	23.73842	23.80936	26.72464	25.20337	24.79262	25.26402	23.44734	20.98115	22.24299	22.15846	21.78949	22.8376	21.09982	20.08263	19.07386	20.98378	20.22954	20.80515	19.25266	21.73921	19.80966	20.95281	20.62848	19.97231	20.86298	22.44329	20.83493	22.38105	18.6266	19.34211	20.2162	21.07858
60S ribosomal protein L18a (Fragment)	RPL18A	23.43073	24.56538	23.74261	23.49757	22.99492	23.80168	25.41747	24.69614	21.14433	22.40471	22.58853	22.71122	21.82799	21.55688	22.71888	20.19075	26.09829	23.35382	21.8154	21.49941	22.37066	21.62146	23.01592	21.87806	27.02769	26.00135	23.60723	24.72454	23.04924	23.63936	23.01654	22.72429
Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	25.76435	24.23338	25.96733	25.59141	25.75516	25.29159	20.90159	23.39451	24.92496	24.61065	23.82123	24.84295	24.19493	24.63281	22.17709	24.34749	24.88038	23.95788	22.71263	24.2428	23.20211	24.64244	22.18887	24.24318	24.49887	23.66514	23.20374	21.36303	24.94554	23.99978	24.50443	24.00542
Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP4	24.32427	24.35985	24.04551	24.26353	24.35282	22.80929	23.33788	22.50448	24.38134	24.31971	24.14297	23.6833	23.69653	24.16134	23.76431	22.63774	23.50468	23.94509	24.02382	24.80035	23.08638	24.04763	23.50094	23.24357	23.33742	23.30708	24.75904	24.17485	23.92635	24.31211	23.58087	23.45984
Nucleobindin-1	NUCB1	22.5726	22.10873	23.00366	21.95808	22.32299	22.3426	21.48864	22.47437	21.86806	22.09851	21.50778	20.70126	21.83805	21.13452	21.89179	21.01752	22.50989	22.39215	21.40353	21.60979	21.70594	21.43728	22.34352	21.41304	18.77559	22.66214	24.36934	22.41182	23.54531	23.97937	23.77764	22.61518
60S ribosomal protein L6	RPL6	27.53998	27.86938	27.34706	27.58876	26.79796	27.1086	27.35181	27.26373	26.53753	26.97503	25.07121	26.42647	24.76087	23.49807	24.43759	22.64223	27.28732	26.14879	24.95254	25.7145	24.97259	23.82165	23.85384	24.72463	28.39575	27.98953	27.54039	27.46286	27.22369	26.32667	26.75284	25.6311
Isoform Beta-1 of DNA topoisomerase 2-beta	TOP2B	25.08694	25.57248	27.07415	27.83568	26.31923	26.11807	26.25849	25.20261	25.35479	23.60777	24.72161	25.35228	22.56893	22.2724	22.27591	19.3079	26.86427	24.20584	25.14372	25.6709	23.43572	22.46544	21.77209	20.43604	26.45697	25.4771	27.72003	27.86382	26.55503	25.34862	25.00311	23.64994
Isoform 3 of A-kinase anchor protein 12	AKAP12	25.67179	25.54268	24.61517	25.522	25.17466	24.98611	24.76208	23.81821	26.3839	26.58607	26.15464	26.23254	26.14129	25.49406	24.46132	25.29632	25.12626	25.99228	26.39538	25.73369	25.90356	26.1312	23.37391	24.54617	25.21164	26.22568	24.74448	25.18408	24.2584	24.48786	23.54603	24.24887
Mitochondrial 2-oxoglutarate/malate carrier protein	SLC25A11	24.9945	24.44696	24.35727	24.03706	24.62885	24.93404	24.37978	25.31173	24.7103	24.67085	25.2282	24.78902	24.72647	25.38799	24.49554	25.7559	25.65255	24.82648	25.17065	25.43815	25.42988	25.77045	25.01034	24.99779	25.34077	25.51046	25.44795	25.04268	25.48247	25.44665	25.1502	25.96717
Dystonin	DST	22.23692	22.06664	22.70759	22.68866	21.79642	21.93348	21.55754	20.41306	22.87411	22.7131	22.74611	22.23538	22.3375	22.5276	22.55579	22.76778	19.16207	22.21834	22.50593	22.36447	22.78473	22.9864	23.20597	22.27921	20.34124	23.18731	23.24594	22.38015	23.5477	22.51953	22.83554	22.69666
Lamin-B2	LMNB2	28.85805	28.59499	29.00602	28.32695	28.16387	28.86571	28.04177	27.04847	27.29184	26.99098	26.83532	27.29926	26.9066	26.83189	25.7808	24.24165	27.43008	27.41755	26.80315	26.98193	26.85238	26.28741	26.25652	25.78832	28.00338	27.57874	28.64394	28.11804	28.2916	28.22052	28.10882	27.06516
Mevalonate kinase	MVK	19.97861	19.70827	20.80658	20.79492	19.54594	19.46072	19.20986	20.62771	20.17499	20.11177	20.60829	20.98468	20.38163	21.16498	20.9631	20.7505	21.4325	18.37346	21.00161	21.16901	20.62087	21.60174	20.11558	20.45869	18.9171	20.17913	20.78526	20.71825	18.7055	21.37385	20.38036	20.4024
UBX domain-containing protein 1 (Fragment)	UBXN1	27.01405	26.65734	25.86603	24.58515	26.23745	23.38505	25.07292	21.52528	25.83092	27.06578	26.03163	23.93494	25.718	22.60343	26.66845	25.27492	26.39478	26.13085	26.1356	22.57632	26.31391	24.02466	24.75824	24.14388	24.86403	25.34058	25.76024	24.4036	25.87712	24.4985	23.58852	23.78583
"1,4-alpha-glucan-branching enzyme"	GBE1	20.62991	22.18327	21.4763	18.88621	21.22537	20.76426	21.41239	21.44611	21.45222	22.11952	22.51028	19.76313	20.86022	21.78497	21.19551	21.57117	21.75882	21.8936	22.49037	20.83043	23.06067	19.58679	21.27553	21.05815	19.9744	21.52219	22.17927	21.95624	20.93341	21.31606	21.23859	21.44773
Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	22.94415	23.36819	23.52026	24.00255	23.08192	23.81762	24.00033	18.97349	23.08188	23.07739	23.15324	23.82697	22.28856	23.36071	22.94624	20.85203	22.66119	22.28918	23.13255	23.33039	22.54428	23.1312	23.5798	22.87766	23.97901	22.96209	23.759	24.35307	23.0487	23.48953	23.46864	22.36821
Isoform 2 of Lactoylglutathione lyase	GLO1	27.28731	27.26918	27.21583	28.11249	27.22716	27.32602	28.34432	28.03663	27.17445	26.61764	26.83439	27.72758	26.80261	26.81719	26.70867	26.30227	27.45358	26.56513	26.32111	26.99155	26.45446	26.64494	26.34708	26.05014	27.437	26.53855	25.80004	25.67195	26.32684	26.04912	26.17014	26.13739
Aldo-keto reductase family 1 member C1	AKR1C1	23.43411	23.96398	25.03187	25.76517	24.89616	25.08293	24.53306	25.33011	25.54055	25.09443	26.44487	26.37517	25.41252	26.44803	26.03436	25.76525	26.16242	25.48649	26.51748	26.93959	26.33853	26.76323	25.75845	25.2549	25.53243	25.40745	26.13873	25.80708	25.51822	25.90737	25.34509	25.43491
"Single-stranded DNA-binding protein, mitochondrial"	SSBP1	24.96659	25.61303	24.71942	25.04658	25.45863	24.25897	25.07134	24.48907	24.42708	24.9857	24.09538	24.29393	24.62985	23.95778	24.33358	24.35555	24.36133	23.47782	24.08775	24.20439	24.49037	24.49652	24.29342	24.3327	24.46732	24.41615	24.4269	24.62	24.60725	24.54623	24.07528	24.26609
14-3-3 protein eta	YWHAH	28.49611	27.9671	28.17163	27.8613	28.12822	27.97996	27.99476	27.7765	28.78089	28.67672	28.7944	28.35815	29.35057	29.28186	29.19225	29.53969	27.95404	29.22054	28.98867	28.91652	29.61896	29.30533	29.57381	29.80612	28.39748	28.42134	28.74389	28.33167	29.497	29.13015	29.27251	29.70666
Isoform 2 of Dynamin-1	DNM1	25.17833	24.62258	24.86425	26.21208	24.38681	24.59824	25.01106	27.67543	26.70075	26.87902	27.27843	26.78077	26.83544	27.12511	27.47495	27.61239	27.44816	27.20737	27.40137	27.60778	27.16798	27.40424	27.46706	27.78226	26.38921	27.66143	27.31846	27.52076	26.84449	26.92671	27.21415	27.75042
Serine/arginine-rich-splicing factor 11 (Fragment)	SRSF11	25.04344	26.46279	24.73428	25.28876	25.69884	23.84156	24.69115	25.41921	25.47923	24.87457	23.07473	24.39656	23.72195	23.67638	23.50226	22.7814	26.42753	24.19444	23.37504	23.62701	22.96217	23.69215	23.16622	22.44979	26.7462	25.45602	24.88012	25.37237	25.2012	25.11051	24.83801	24.47392
Elongation factor 1-alpha 2	EEF1A2	24.64399	24.57895	23.31862	23.99351	23.2325	22.57983	25.2695	27.03775	25.20864	24.92898	26.54995	25.30118	25.46418	26.48978	25.51868	25.78838	27.79996	26.10008	26.61927	26.68101	25.90331	27.14432	25.86348	26.40072	25.69944	26.90088	26.85589	27.01685	26.38739	26.74082	26.59192	26.82008
Caldesmon (Fragment)	CALD1	22.08398	22.35099	23.0057	22.89532	22.58339	23.55816	19.57494	22.05608	22.20679	22.21437	21.98976	23.44417	21.80265	19.38795	22.10294	21.13691	20.41577	22.02433	19.47261	21.98029	22.53879	21.19651	19.13793	18.56474	21.47431	21.01478	22.54398	23.0483	22.06501	22.95382	22.19968	20.22182
Tyrosine-protein phosphatase non-receptor type 11	PTPN11	24.49068	24.8867	24.36952	24.34733	24.87473	24.94594	26.09002	25.90009	24.4171	24.66194	25.25638	25.12662	24.73169	24.40421	24.77532	24.17952	25.33632	24.39459	24.93533	24.61216	24.33053	24.60954	24.8481	24.18272	24.59935	25.08624	24.48245	24.48308	23.63492	24.17113	24.92412	24.24352
Amidophosphoribosyltransferase	PPAT	23.5443	24.2159	23.39557	24.19905	23.97581	23.46803	23.35958	22.65058	23.60341	21.42808	23.57132	23.69858	23.19778	22.95939	23.04033	22.12434	19.35237	22.72633	22.68514	23.14053	22.84357	22.86623	22.8168	22.04306	21.03653	19.5946	21.91817	22.26706	22.39934	22.33864	22.64326	22.17453
Isoform 3 of Proteasome activator complex subunit 1	PSME1	25.61425	23.8142	23.99794	23.04319	24.07897	23.24285	22.78274	22.2705	22.52178	22.53345	22.4447	20.67654	22.16821	20.98066	21.0507	23.93319	22.12326	21.69285	22.26902	19.56755	22.67939	21.65084	21.50237	22.26818	22.36527	21.73466	22.13496	20.62381	20.38124	21.55328	21.75923	22.34759
Isoform 2 of Amyloid-like protein 2	APLP2	21.28989	21.02463	20.50482	21.09584	21.98144	21.58704	23.61237	21.68063	22.85469	22.81383	21.95784	22.23075	22.78241	22.61275	23.63957	22.71008	19.94339	23.32824	22.94637	22.68127	22.79958	23.11323	22.73906	23.4254	20.34693	20.97453	22.71328	21.86756	21.60751	22.19706	22.1193	21.92417
Peroxiredoxin-1 (Fragment)	PRDX1	29.70201	29.97255	29.68316	29.7382	30.31157	29.92754	29.52111	28.90309	30.43565	30.18457	29.99456	30.3328	29.81185	29.76725	29.80586	29.44641	29.47808	29.92308	29.4899	29.83475	29.43041	29.36967	29.66323	29.21749	29.17365	29.2068	29.49366	29.22415	29.67385	29.19114	29.62727	29.05109
Isoform 2 of 60S ribosomal protein L18	RPL18	27.28893	28.61556	26.52123	26.68375	26.76814	26.37937	24.5155	23.34848	26.62876	26.92775	23.90389	25.90413	24.50957	23.29243	23.00632	21.32056	26.30072	25.91718	23.91358	24.2922	24.45648	21.46772	23.2537	24.07804	27.55259	26.93503	26.93328	26.93374	26.22225	26.74085	26.26004	25.82096
"Complement component 1 Q subcomponent-binding protein, mitochondrial"	C1QBP	25.0029	19.82836	22.80264	23.80568	22.47494	22.73685	20.1517	20.08745	19.40168	22.1755	22.12885	23.84726	22.60872	23.5098	22.59053	23.02066	21.4834	21.85312	23.1511	24.03059	22.26164	23.3526	22.88982	22.81063	22.83244	21.87695	23.71467	24.61776	23.13099	24.12943	23.84638	23.73964
Cytoskeleton-associated protein 4	CKAP4	24.89128	25.33675	24.83571	24.87631	25.42999	24.92783	24.66137	24.25888	24.64894	24.78113	23.52124	24.018	24.41267	23.41596	22.82029	21.62624	25.19201	25.31499	23.89098	24.0921	24.36404	23.56696	22.99638	23.34859	25.11779	25.81759	26.14299	25.58665	25.74162	25.13913	25.32249	25.21647
Isoform Short of Tight junction protein ZO-1	TJP1	23.26016	25.18215	23.08291	23.33767	24.06449	22.55728	21.89822	24.13431	22.73633	21.62756	23.1262	20.78149	22.53341	23.96759	20.90034	21.1918	23.91855	22.10196	23.82813	19.11292	22.81714	21.9417	19.87866	19.11531	24.50732	24.14173	22.97055	23.55566	22.80879	23.65829	23.55265	24.01297
"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	KHDRBS1	26.80478	24.42944	26.83482	25.24984	26.17539	25.0298	23.27646	23.5647	25.3148	23.86108	24.79609	24.24454	24.43614	23.30827	21.04535	22.44884	25.1758	25.18421	24.33615	23.75546	25.15786	22.73993	21.69752	22.25582	24.0671	25.3524	26.11207	23.83064	25.61775	24.86194	24.12757	24.94813
Isoform Epsilon of Apoptosis regulator BAX	BAX	23.72246	23.76997	23.52591	22.94707	24.21404	23.17595	21.79445	20.09207	24.29808	23.63976	23.27409	23.34234	23.80982	23.84369	23.69567	23.3044	23.03781	23.7415	22.64812	23.07992	22.67632	23.74222	23.39231	23.4554	23.61246	23.73066	23.73622	23.31778	23.27559	24.45845	23.14104	19.32164
Kinesin light chain 1	KLC1	24.33372	23.70297	24.26811	24.60708	24.16929	23.92818	24.54444	24.06128	26.08686	25.29399	25.66723	25.30836	25.3782	25.81263	25.30328	25.7278	24.42614	25.57933	25.59922	25.90966	25.69345	26.0859	24.84362	25.65317	22.11309	24.15962	24.98726	25.43465	25.0927	24.91558	24.49329	25.2251
Prolow-density lipoprotein receptor-related protein 1	LRP1	27.01356	27.10744	25.75922	26.26035	26.71806	25.92234	26.86912	26.97473	25.15377	25.21482	25.75531	25.68899	25.54471	25.48436	24.96646	25.99545	26.38283	26.35451	25.81143	25.76775	26.28593	26.10357	25.4859	26.39666	27.25013	27.65436	27.3992	27.6197	27.70182	27.68723	27.83212	27.41216
Serine/arginine-rich splicing factor 1	SRSF1	29.28443	28.88047	28.18098	27.92413	29.0764	27.50419	26.35089	23.71862	27.07457	26.74205	24.05641	25.26202	26.31431	21.97659	23.99921	21.92331	26.94564	26.8859	24.04518	24.2029	24.94347	22.2177	23.34929	22.71173	27.35096	26.97546	27.84863	27.14291	28.18004	26.02122	27.12055	24.19958
Rho GTPase-activating protein 1	ARHGAP1	24.37498	24.32311	24.80218	24.87435	23.86876	23.98676	24.28738	23.93343	24.42252	24.23079	24.45471	24.83702	23.99526	24.2131	24.31561	23.98543	24.13415	24.08435	24.08819	24.83342	23.56629	24.10761	24.34632	24.09974	24.72338	23.78013	24.08722	23.84496	23.73951	24.32307	23.75634	23.98065
Serine/arginine-rich splicing factor 4	SRSF4	20.61564	20.00764	22.16996	18.38414	19.88359	19.64124	21.33913	21.30965	19.69423	19.77011	19.26591	18.9001	19.73155	22.01532	19.21207	17.43333	19.25008	19.66597	18.32053	19.19744	19.6808	17.47686	18.44788	18.38247	21.35413	20.23017	19.31586	19.29374	20.26877	19.75794	19.14481	19.03254
Protocadherin-1	PCDH1	22.34226	22.93015	22.71036	21.59277	21.21205	23.23185	23.85419	25.80695	22.80624	23.73356	23.40374	21.31903	24.88819	23.93704	25.62158	26.83067	24.01895	23.93547	24.35647	22.69929	25.67587	25.4216	25.98518	26.86172	23.49789	23.54408	23.6485	23.39616	24.77766	24.73952	25.18196	26.14191
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform	PPP3CA	25.302	24.62484	24.4663	24.8244	24.73063	21.58164	25.39152	26.55663	25.52238	26.19402	26.81929	25.77158	26.89317	27.10197	26.82419	27.60135	25.99464	26.4678	25.78064	26.02217	27.20965	27.44128	26.50945	27.5931	25.56902	25.63507	26.05315	26.12801	26.85842	26.69674	26.42778	27.21336
ATP-dependent RNA helicase A	DHX9	28.24898	27.70432	28.80813	28.70251	27.71354	27.97096	26.51603	26.1841	27.95699	26.80362	26.89494	27.05641	26.37606	25.44526	25.00631	23.78534	27.69712	27.35942	26.97217	27.17777	26.45501	25.93309	25.23279	24.22428	27.91834	27.31581	29.05329	28.09135	28.0797	27.72756	27.72527	26.8634
Isoform 3 of Quinone oxidoreductase	CRYZ	25.07762	24.45368	25.19467	25.3709	23.65886	24.88457	23.13424	23.27029	24.28588	24.63916	23.68747	25.27875	23.59994	23.59416	23.73659	23.14994	22.50671	23.74625	23.25124	23.55961	22.68053	22.58727	22.90732	22.48951	22.19045	22.31639	22.84159	23.53697	22.58636	22.79266	22.63551	23.2871
Isoform 2g of Voltage-dependent L-type calcium channel subunit beta-2	CACNB2	19.39574	21.12629	18.92813	21.37868	20.06735	22.51285	20.43367	20.68731	21.0914	21.07351	23.32533	21.49277	21.02102	20.54527	22.64044	22.58498	19.19585	19.81232	24.31842	24.85435	22.25064	23.40302	23.14913	21.9869	22.28664	20.26632	24.27011	23.84581	22.82516	22.92698	22.87881	22.95282
Epithelial discoidin domain-containing receptor 1	DDR1	21.45289	21.62626	21.14538	18.99713	21.13977	21.6724	21.87357	24.51023	20.90376	21.47569	21.67932	21.43858	21.67033	22.0474	21.89195	21.19046	21.49054	21.38295	21.27422	21.35985	21.18284	21.82168	22.05949	21.16161	20.80931	23.47541	19.93872	19.6811	20.51085	20.54453	20.81597	20.48925
Golgin subfamily A member 2	GOLGA2	19.17231	20.13659	19.9809	18.8819	19.34946	19.77675	21.25919	18.34416	18.61493	19.14508	19.83732	20.04447	20.51486	18.2797	19.49368	19.47379	19.83349	19.03854	19.16333	19.4212	19.45148	20.81301	18.989	21.39492	20.77861	19.7128	22.13663	22.35105	21.04953	22.34539	20.6552	20.07177
Galectin-3-binding protein	LGALS3BP	24.27684	25.88289	23.5048	23.36911	24.9548	23.26492	25.18341	25.33634	24.78966	24.60124	23.96759	23.45262	24.07948	24.08067	24.88338	24.61892	25.9572	24.82806	24.42379	23.96261	23.39142	24.48877	24.92587	24.54089	25.55726	25.01181	21.95645	22.06313	21.7473	21.56476	23.21549	21.87561
Dematin (Fragment)	DMTN	22.76136	21.60332	22.05782	20.55974	20.53672	21.20332	20.54059	22.80104	19.98226	21.08531	21.76073	21.77681	22.2178	21.30433	21.95532	23.52256	22.0586	22.2496	21.58423	21.97111	22.84623	22.72708	21.80609	23.66013	22.24255	19.75957	19.00529	20.4861	19.89573	18.28579	20.28398	22.97211
Leukocyte surface antigen CD47	CD47	24.89772	23.31648	22.60971	23.08523	24.047	25.2058	23.65916	23.45237	25.34559	25.11856	25.13903	25.43699	25.83075	25.94583	26.41848	22.79809	23.55456	25.0577	25.64855	23.54144	26.06573	25.99507	26.71933	25.40319	22.87782	22.84546	24.39753	24.9702	25.44555	25.12007	26.22328	24.81769
Peptidyl-prolyl cis-trans isomerase D	PPID	21.82689	20.36798	21.09732	22.49611	20.69584	22.25547	23.02805	23.35304	22.31814	22.20003	22.03131	21.93597	21.73178	21.41321	22.07264	21.35302	23.95364	21.51961	21.36635	22.57941	20.33105	22.25075	21.4854	21.49416	23.37777	23.0857	21.5005	22.40904	21.46867	22.62892	21.99252	21.86835
Adenylate cyclase type 1	ADCY1	19.19094	19.94207	19.69558	19.77307	19.77803	19.17116	21.25044	23.33879	21.80278	21.05225	21.59836	19.67518	21.02807	22.75896	22.25843	21.90837	22.75731	20.9463	22.08746	19.54843	22.53437	22.4924	22.0415	21.92714	20.90466	21.74204	20.29352	19.85169	20.8219	21.29674	21.99089	21.75258
FACT complex subunit SSRP1	SSRP1	24.94473	25.6122	26.20261	26.47193	25.0587	25.8635	22.73759	21.44839	24.93494	24.63239	23.20962	24.72139	23.25593	23.05221	21.95133	20.9573	23.34069	23.59891	23.42084	23.57224	23.06153	22.70024	21.83904	21.17854	23.40989	23.16953	25.97356	25.89696	25.33142	24.97187	24.57584	23.11004
Isoform 2 of Protein spire homolog 1	SPIRE1	20.60304	21.76456	22.83526	21.1322	21.5221	19.37193	22.5011	22.79608	23.37	23.46043	22.53708	22.95449	23.11683	22.9528	23.44786	18.39525	23.37539	22.77593	22.15677	20.31614	22.24503	22.75053	22.9878	22.26069	23.00714	22.22764	21.90059	23.30048	22.46445	22.8822	22.60279	22.09785
Protein VAC14 homolog	VAC14	18.71674	24.02462	22.91291	23.26742	22.42263	20.33365	21.9984	20.99483	22.32858	23.1937	23.05005	23.17786	21.82831	23.79094	19.82798	18.54398	22.73895	21.83754	21.68273	23.09607	23.1786	19.47	22.05433	21.94027	20.62353	21.69986	22.85554	21.02154	21.84215	22.52318	22.24095	22.17167
Isoform 3 of tRNA (cytosine(34)-C(5))-methyltransferase	NSUN2	21.06281	21.54382	22.79005	18.61458	19.97522	20.97078	20.75318	22.2623	21.25689	20.54805	22.55457	21.52741	20.06188	21.84357	20.23808	19.2541	22.71479	19.50844	22.19235	21.56514	20.9189	21.45227	21.75774	21.18802	21.7727	23.75511	23.88219	22.78923	22.75795	24.01978	21.64205	21.15604
Uncharacterized protein (Fragment)	4 SV	20.02511	18.1862	20.01937	19.95614	19.72382	21.3917	20.75295	23.44405	18.95347	21.47402	21.27776	20.82834	21.08609	20.44732	19.1138	22.20353	21.76985	22.10936	22.08515	22.72165	21.95287	22.44182	18.24375	22.62297	22.65237	23.09658	20.30377	18.65034	19.73504	22.11019	18.64672	22.38987
Isoform 3 of Histone-binding protein RBBP4	RBBP4	27.64149	28.03575	27.67097	28.35793	28.12228	27.84498	26.33757	25.8556	27.19982	26.6748	26.14816	27.09567	25.92264	25.5015	25.08261	24.15666	27.04807	26.91854	25.90065	26.78577	25.74384	25.0817	25.12697	24.17698	26.85804	26.95382	27.67689	28.19712	27.40644	27.24467	26.81652	25.63382
Secernin-3 (Fragment)	SCRN3	21.08768	20.83275	21.12367	22.05043	21.40307	21.07887	21.08607	21.0285	21.39239	21.5397	21.19861	20.00113	20.94634	20.93625	21.2345	20.16086	21.62292	20.81306	21.03792	21.10522	20.26308	21.49304	19.39887	20.37381	22.85587	20.66588	21.20213	20.82654	20.61519	21.16693	21.06472	20.13026
Isoform C of AP-1 complex subunit beta-1	AP1B1	24.41861	23.92723	24.45445	24.42654	24.56758	24.69589	24.59637	24.73584	24.52449	23.72082	24.46791	24.2552	24.36859	24.83488	24.29524	23.95598	24.73928	23.94997	24.91821	25.02719	24.21925	24.55663	24.43121	23.50441	24.38706	24.71502	24.65486	23.80381	25.04525	24.38722	24.62048	23.91825
Cleavage and polyadenylation specificity factor subunit 1	CPSF1	21.44738	21.18316	22.18452	22.26355	21.22415	19.45934	20.46623	20.16291	20.99279	20.97346	19.30747	20.90036	20.21285	18.95057	19.25048	16.81058	19.65353	20.61881	19.0201	20.66379	20.05781	20.46129	19.18126	18.82082	21.58043	20.96636	21.21239	21.62131	20.94421	19.98009	21.12345	19.63788
Kinesin-like protein KIF1A	KIF1A	22.26388	23.38821	22.21725	23.40879	22.40464	22.67216	24.37452	23.88585	22.88459	23.71214	23.86126	23.02271	24.29175	23.65198	23.24963	23.56158	24.09847	23.82548	24.03484	23.85049	24.03615	24.32544	23.43943	23.74938	24.01307	23.10838	23.75008	23.52846	24.58397	23.91556	23.6356	23.97705
Secernin-1	SCRN1	27.32833	27.59145	26.56236	26.94501	27.27697	26.27104	26.52995	27.10887	27.90819	28.07957	27.67217	27.52818	27.76144	27.39027	27.51968	27.49726	27.35287	27.5644	27.2733	27.1206	27.07386	27.34434	27.16383	27.7035	26.39335	26.83833	26.5033	26.04647	26.35617	26.78815	26.77229	27.48307
Twinfilin-1	TWF1	25.01463	24.93096	24.60477	25.45107	24.79935	25.23096	24.98367	23.7759	25.22306	24.95935	25.08073	25.53059	25.05775	24.63743	24.95677	24.12856	24.06515	24.07323	24.69764	25.1231	24.89779	25.15952	24.36784	24.11193	23.92461	24.28228	24.10151	24.92224	24.90572	24.96431	24.68275	24.25791
Alpha-globin transcription factor CP2 (Fragment)	TFCP2	21.6044	22.51316	20.80425	21.43289	21.6244	21.18782	22.63863	19.66439	21.87635	22.06914	21.27254	19.58244	21.70408	19.96124	21.68466	20.57598	21.88603	21.69511	21.28184	19.09078	21.34413	19.27051	20.53391	20.71196	20.1701	19.78457	20.97404	20.16497	21.43079	22.01858	21.19898	19.29206
Isoform B of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SMARCB1	24.03026	24.53023	23.43157	24.59227	25.14643	23.29088	22.51349	20.51766	23.28598	21.87745	22.18553	21.69387	22.50387	19.90563	19.03882	20.62492	22.2708	21.78088	22.30916	23.34245	21.80353	19.20718	21.02506	19.58642	22.50743	22.42712	24.28671	24.11293	24.15587	22.99081	22.8348	22.78347
Kinesin heavy chain isoform 5A	KIF5A	21.55112	23.48849	22.43979	22.73124	22.92265	18.57099	23.47043	23.13482	17.66411	23.42695	22.35593	22.888	22.96765	24.4734	23.24686	22.09271	21.1102	19.81627	20.59852	20.11404	20.02117	22.91357	22.07741	22.67004	22.17722	20.40793	23.21414	21.9561	21.63984	20.4871	21.98621	22.60207
Contactin-1	CNTN1	28.1202	27.46112	27.06744	26.47672	27.43633	27.28125	29.01338	31.31043	29.3345	29.33834	29.7047	28.9053	30.49525	30.47709	30.7511	32.03659	29.86509	30.28443	30.37762	30.09969	30.84245	30.96881	31.25065	31.71046	29.38918	29.49109	29.1645	28.95995	29.75993	30.00182	30.51513	30.95645
Splicing factor 3A subunit 3	SF3A3	24.25299	23.56536	23.85777	24.78859	24.19922	24.24304	20.45854	21.08907	23.92319	23.73287	22.32304	22.72392	21.95242	20.60386	21.93955	20.08005	23.20889	23.18019	21.77278	22.49771	21.96508	21.45643	22.00662	21.15034	22.64356	22.42549	24.66849	23.81782	23.75298	23.53112	23.51754	22.33481
Tumor suppressor p53-binding protein 1	TP53BP1	23.07586	24.3499	23.50613	23.62334	23.9879	23.54538	22.66383	20.7905	23.07471	22.52024	22.81942	22.65681	21.38126	20.86865	20.18052	21.94114	21.4756	22.31592	23.25891	23.01211	23.1478	19.40331	22.20156	19.69261	19.6856	23.02837	25.03042	25.02479	24.73722	24.09627	24.53096	23.09809
Interleukin enhancer-binding factor 2	ILF2	26.61577	27.41445	27.28008	27.86448	27.20568	27.35221	26.77279	26.72607	26.59562	26.79175	26.30271	26.91666	26.19178	24.99645	24.95513	24.1115	27.57806	26.33453	26.42696	26.8571	26.0548	25.96597	24.70245	24.94869	27.01429	27.14731	28.01409	28.16356	27.4592	27.67622	27.00868	26.57169
Isoform 5 of Interleukin enhancer-binding factor 3	ILF3	27.68562	26.93724	27.85026	28.45655	27.89002	28.09458	25.8925	24.69789	26.96929	25.82316	26.56739	26.99714	25.79698	25.64642	23.81907	22.67657	26.33028	26.42148	26.34969	26.45485	25.66766	25.24445	25.38948	24.75334	25.24761	26.28819	28.37926	28.24796	27.67075	27.51413	27.27875	26.56844
Epidermal growth factor receptor kinase substrate 8 (Fragment)	EPS8	20.94394	20.58974	20.28985	19.08547	21.165	21.99821	21.59813	20.22103	21.04674	20.73554	22.10968	20.58763	20.08932	21.13111	18.12807	18.7752	21.33719	21.21645	22.39458	22.05325	22.55295	22.88485	19.29101	19.5186	19.97792	19.70446	22.00003	22.24965	22.3684	18.76478	21.02216	19.964
